Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
964,0.00077,0.001336,0.005894,0.000423,0.002106,0.006224,0.00013,0.000191,0.000008,0.009046
970,0.00091,0.00143,0.005824,0.000443,0.002426,0.004654,0.000147,0.000194,0.000006,0.008539
976,0.000763,0.00144,0.006049,0.000495,0.002811,0.004657,0.000146,0.000206,0.000006,0.008068
982,0.000794,0.001503,0.007508,0.000462,0.002096,0.004821,0.000121,0.000203,0.000006,0.007337
988,0.000846,0.001507,0.007124,0.00048,0.002314,0.004731,0.000122,0.000198,0.000007,0.007578
994,0.000852,0.001583,0.006391,0.000485,0.002325,0.004844,0.000124,0.000202,0.000006,0.007639
1000,0.000813,0.001577,0.006474,0.000447,0.002291,0.006944,0.000161,0.000202,0.000006,0.009658
1006,0.00074,0.001594,0.009424,0.000531,0.002445,0.006537,0.000157,0.000204,0.000034,0.013051
1012,0.00074,0.001207,0.008111,0.00055,0.002267,0.006145,0.000165,0.000215,0.000006,0.010835
1018,0.002629,0.000966,0.006834,0.000559,0.002304,0.004872,0.000157,0.000201,0.000007,0.012272
1024,0.000593,0.001224,0.006739,0.000519,0.002332,0.004893,0.000159,0.000205,0.000023,0.013436
1030,0.000591,0.001676,0.009384,0.000534,0.002495,0.005189,0.000161,0.00021,0.000006,0.008718
1036,0.000589,0.001653,0.009266,0.000555,0.002597,0.005224,0.000157,0.000208,0.000006,0.008739
1042,0.000597,0.001693,0.007145,0.000552,0.003323,0.00529,0.000161,0.000234,0.000006,0.009103
1048,0.000965,0.001708,0.007822,0.000566,0.002447,0.00535,0.000162,0.000304,0.000006,0.010319
1054,0.000947,0.001755,0.008333,0.000564,0.002444,0.005461,0.00016,0.000239,0.000006,0.010101
